Date,RepPosPer,RepNegPer,DemPosPer,DemNegPer,TrumpRating,BidenRating
1/07/2020,0.361955629,0.49019838,0.098955276,0.048890715,0.403,0.497
2/07/2020,0.412110678,0.459100855,0.077375502,0.051412964,0.4,0.493
3/07/2020,0.479207986,0.430252545,0.048029882,0.042509586,0.405,0.493
4/07/2020,0.535766715,0.379202714,0.042914357,0.042116215,0.409,0.496
5/07/2020,0.432357478,0.433766388,0.077119298,0.056756837,0.409,0.496
6/07/2020,0.384819565,0.506505462,0.059116853,0.04955812,0.409,0.496
7/07/2020,0.39905827,0.519066943,0.041494997,0.04037979,0.409,0.496
8/07/2020,0.411819774,0.494186749,0.054599263,0.039394214,0.408,0.496
9/07/2020,0.408578904,0.459478937,0.069840673,0.062101487,0.403,0.493
10/07/2020,0.457258766,0.409568546,0.08151718,0.051655508,0.403,0.493
11/07/2020,0.465717784,0.449216685,0.047444138,0.037621393,0.403,0.493
12/07/2020,0.449535613,0.453787468,0.052439539,0.04423738,0.402,0.49
13/07/2020,0.399372432,0.484059428,0.056533121,0.060035019,0.402,0.49
14/07/2020,0.424341076,0.449320729,0.072372128,0.053966068,0.402,0.49
19/07/2020,0.420142602,0.453297683,0.074331551,0.052228164,0.407,0.493
20/07/2020,0.394433288,0.447609707,0.079795763,0.078161242,0.407,0.493
21/07/2020,0.383209862,0.426751779,0.096249012,0.093789347,0.408,0.495
22/07/2020,0.417982845,0.450532387,0.063250518,0.06823425,0.409,0.496
23/07/2020,0.41129786,0.432746685,0.086840813,0.069114642,0.409,0.496
24/07/2020,0.457695993,0.430522977,0.070831544,0.040949486,0.409,0.496
25/07/2020,0.424944034,0.475926891,0.059155448,0.039973627,0.409,0.5
26/07/2020,0.389078878,0.466716506,0.089105919,0.055098697,0.413,0.506
27/07/2020,0.386214882,0.468295193,0.081710435,0.06377949,0.413,0.506
28/07/2020,0.380543354,0.483392503,0.084271015,0.051793128,0.415,0.505
29/07/2020,0.422007313,0.43125089,0.083698697,0.0630431,0.417,0.501
30/07/2020,0.486254596,0.379793381,0.085799335,0.048152688,0.416,0.499
5/08/2020,0.361755939,0.436410442,0.111010749,0.090822871,0.427,0.491
6/08/2020,0.381485605,0.417321457,0.107284874,0.093908064,0.427,0.491
7/08/2020,0.381223129,0.381768334,0.104757306,0.132251231,0.427,0.491
8/08/2020,0.42881223,0.379979639,0.113336337,0.077871794,0.427,0.491
9/08/2020,0.426967396,0.445437831,0.077264242,0.050330531,0.42,0.489
10/08/2020,0.405625912,0.424282682,0.101096013,0.068995394,0.42,0.489
11/08/2020,0.372509085,0.408920408,0.128033056,0.090537452,0.419,0.491
12/08/2020,0.313052721,0.247888322,0.273341837,0.16571712,0.418,0.493
13/08/2020,0.331922598,0.355551455,0.174650584,0.137875363,0.418,0.492
14/08/2020,0.41040162,0.432112267,0.089354744,0.068131368,0.416,0.493
15/08/2020,0.438887318,0.415087893,0.089094679,0.05693011,0.419,0.498
16/08/2020,0.415169792,0.430040208,0.091309383,0.063480617,0.425,0.502
17/08/2020,0.369153247,0.411221175,0.124975609,0.09464997,0.425,0.502
18/08/2020,0.393987924,0.399421094,0.128936973,0.077654009,0.424,0.5
19/08/2020,0.330594192,0.385487502,0.203481262,0.080437044,0.423,0.497
20/08/2020,0.365686716,0.445721805,0.116266722,0.072324757,0.423,0.497
21/08/2020,0.291166227,0.300511905,0.265137148,0.14318472,0.422,0.498
22/08/2020,0.349271602,0.358246004,0.169985735,0.122496658,0.424,0.5
23/08/2020,0.403931677,0.401663827,0.111965396,0.0824391,0.423,0.501
24/08/2020,0.43322084,0.379802136,0.102422449,0.084554574,0.423,0.501
25/08/2020,0.472265479,0.368982081,0.088785559,0.069966881,0.423,0.497
29/08/2020,0.379144775,0.428266171,0.088463762,0.104125292,0.428,0.497
30/08/2020,0.381093729,0.459515988,0.076658181,0.082732103,0.428,0.497
31/08/2020,0.332328133,0.449193654,0.088807307,0.129670906,0.433,0.496
1/09/2020,0.327856522,0.406424089,0.118820958,0.146898432,0.43,0.49
2/09/2020,0.376506803,0.43597998,0.105200085,0.082313133,0.424,0.496
3/09/2020,0.377922584,0.428263314,0.102849735,0.090964367,0.424,0.496
4/09/2020,0.335593531,0.520822834,0.074311632,0.069272003,0.426,0.496
5/09/2020,0.400570102,0.450351171,0.079138382,0.069940345,0.426,0.496
6/09/2020,0.408051463,0.439174676,0.092436701,0.060337159,0.428,0.497
7/09/2020,0.370427557,0.436366262,0.110605068,0.082601113,0.428,0.499
